,location,url,lat,lng,text
170,Obdam,/locatie/obd001,52.67812,4.90919,3 fietsen beschikbaar
171,Oisterwijk,/locatie/Ot001,51.582166,5.194901,1 fietsen beschikbaar
172,Oldenzaal,/locatie/odz001,52.3064,6.93371,1 fietsen beschikbaar
173,Olst,/locatie/ost001,52.33477,6.11278,3 fietsen beschikbaar
174,Ommen,/locatie/omn001,52.509888,6.417246,1 fietsen beschikbaar
175,Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,/locatie/gerp002,53.20479,6.58617,15 fietsen beschikbaar
176,Oss,/locatie/o001,51.76545,5.53072,10 fietsen beschikbaar
177,Oss West,/locatie/ow001,51.758371,5.506984,3 fietsen beschikbaar
178,Otterlo,/locatie/ed901,52.10367,5.76998,18 fietsen beschikbaar
179,Oudenbosch,/locatie/odb001,51.58795,4.533291,7 fietsen beschikbaar
180,Overveen,/locatie/ovn001,52.39079,4.60765,3 fietsen beschikbaar
181,P + R Utrecht Science Park (De Uithof),/locatie/ut906,52.08481,5.17314,7 fietsen beschikbaar
182,Pijnacker,/locatie/rtd906,52.019488,4.437386,4 fietsen beschikbaar
183,Pijnacker Zuid,/locatie/rtd907,52.00517,4.446053,2 fietsen beschikbaar
184,Purmerend,/locatie/pmr001,52.50387,4.95413,1 fietsen beschikbaar
185,Purmerend Overwhere,/locatie/pmo001,52.51127,4.96773,Geen actuele beschikbaarheid.
186,Putten,/locatie/pt001,52.265248,5.575806,2 fietsen beschikbaar
187,Raalte,/locatie/rat001,52.39069,6.27817,Geen actuele beschikbaarheid.
188,Ravenstein,/locatie/Rvs001,51.794968,5.637631,7 fietsen beschikbaar
189,Reuver,/locatie/rv001,51.28327,6.07882,4 fietsen beschikbaar
190,Rheden,/locatie/rh001,52.00973,6.03041,3 fietsen beschikbaar
191,Rhenen,/locatie/rhn001,51.957323,5.578028,2 fietsen beschikbaar
192,Rijssen,/locatie/rsn001,52.312883,6.523292,7 fietsen beschikbaar
193,Rijswijk,/locatie/rsw001,52.03988,4.31965,25 fietsen beschikbaar
194,Roermond,/locatie/rm001,51.19222,5.99312,31 fietsen beschikbaar
195,Roosendaal,/locatie/rsd003,51.54078,4.46115,14 fietsen beschikbaar
196,Rosmalen,/locatie/rs001,51.71515,5.36992,2 fietsen beschikbaar
197,Rotterdam Alexander,/locatie/rta001,51.952114,4.551931,Geen actuele beschikbaarheid.
198,Rotterdam Blaak,/locatie/rtb001,51.920017,4.488638,7 fietsen beschikbaar
199,Rotterdam Centraal,/locatie/rtd001,51.923421,4.469738,261 fietsen beschikbaar
200,Rotterdam Fietspunt Marconiplein,/locatie/Rtd004,51.913304,4.432742,7 fietsen beschikbaar
201,Rotterdam Fietspunt Wilhelminakade Prinsendam,/locatie/Rtd003,51.907233,4.490302,4 fietsen beschikbaar
202,Rotterdam Kralingse Zoom,/locatie/Rta003,51.921747,4.534107,15 fietsen beschikbaar
203,Rotterdam Lombardijen,/locatie/rlb001,51.87999,4.53112,3 fietsen beschikbaar
204,Rotterdam Slinge,/locatie/rtd904,51.874121,4.4776,5 fietsen beschikbaar
205,s-Hertogenbosch,/locatie/ht001,51.69065,5.29352,10 fietsen beschikbaar
206,Santpoort Noord,/locatie/sptn001,52.434,4.63195,8 fietsen beschikbaar
207,Santpoort Zuid,/locatie/sptz001,52.41917,4.63085,8 fietsen beschikbaar
208,Schagen,/locatie/sgn001,52.78558,4.80506,9 fietsen beschikbaar
209,Schiedam,/locatie/sdm001,51.921491,4.40774,Geen actuele beschikbaarheid.
210,Schiphol,/locatie/shl001,52.30963,4.76206,Geen actuele beschikbaarheid.
211,Sittard,/locatie/std001,51.00126,5.85969,23 fietsen beschikbaar
212,Sleeuwijk Tol West,/locatie/GR002%20,51.80099,4.930693,3 fietsen beschikbaar
213,Sliedrecht,/locatie/sdt001,51.82931,4.77768,2 fietsen beschikbaar
214,Sneek,/locatie/sk001,53.03254,5.65161,1 fietsen beschikbaar
215,Soest Zuid,/locatie/stz001,52.16521,5.30299,5 fietsen beschikbaar
216,Soestdijk,/locatie/sd001,52.18376,5.29967,2 fietsen beschikbaar
217,Steenwijk,/locatie/swk001,52.79051,6.11712,6 fietsen beschikbaar
218,Terborg,/locatie/tbg001,51.9223,6.3644,6 fietsen beschikbaar
219,Tiel,/locatie/tl002,51.88973,5.42399,Geen actuele beschikbaarheid.
220,Tilburg Noord,/locatie/tb002,51.56099,5.086718,4 fietsen beschikbaar
221,Tilburg Reeshof,/locatie/tbr001,51.574534,4.99477,Geen actuele beschikbaarheid.
222,Tilburg West Universiteit,/locatie/tbu001,51.565278,5.052372,8 fietsen beschikbaar
223,Tilburg Zuid,/locatie/tb003,51.5602,5.086418,64 fietsen beschikbaar
224,Uden,/locatie/Ow002,51.66025,5.617562,4 fietsen beschikbaar
